_X,_Y,ID,,Cordinates,Row,Col,,,,,,,
11.5,15,49,,"POINT 11.5,15",23,30,,,,,,,
10.04,15,34,,"POINT 10.04,15",20,30,,,,,,,
9.5,15,29,,"POINT 9.5,15",19,30,,,,,,,
8.8,15,24,,"POINT 8.8,15",18,30,,,,,,,
8.28,15,19,,"POINT 8.28,15",17,30,,,,,,,
7.92,15,14,,"POINT 7.92,15",16,30,,,,,,,
11.5,18.5,56,,"POINT 11.5,18.5",23,37,,,,,,,
10.03,18.5,35,,"POINT 10.03,18.5",20,37,,,,,,,
9.48,18.5,30,,"POINT 9.48,18.5",19,37,,,,,,,
8.78,18.5,25,,"POINT 8.78,18.5",18,37,,,,,,,
8.28,18.5,20,,"POINT 8.28,18.5",17,37,,,,,,,
7.94,18.5,15,,"POINT 7.94,18.5",16,37,,,,,,,
11.5,21,61,,"POINT 11.5,21",23,42,,,,,,,
10.05,21,36,,"POINT 10.05,21",20,42,,,,,,,
9.52,21,31,,"POINT 9.52,21",19,42,,,,,,,
8.82,21,26,,"POINT 8.82,21",18,42,,,,,,,
8.31,21,21,,"POINT 8.31,21",17,42,,,,,,,
7.92,21,16,,"POINT 7.92,21",16,42,,,,,,,
11.5,23.5,66,,"POINT 11.5,23.5",23,47,,,,,,,
10.03,23.5,37,,"POINT 10.03,23.5",20,47,,,,,,,
9.5,23.5,32,,"POINT 9.5,23.5",19,47,,,,,,,
8.8,23.5,27,,"POINT 8.8,23.5",18,47,,,,,,,
8.29,23.5,22,,"POINT 8.29,23.5",17,47,,,,,,,
7.92,23.5,17,,"POINT 7.92,23.5",16,47,,,,,,,
12.69,5,71,,"POINT 12.69,5",25,10,,,,,,,
12.12,5,69,,"POINT 12.12,5",24,10,,,,,,,
11.55,5,67,,"POINT 11.55,5",23,10,,,,,,,
10.97,5,48,,"POINT 10.97,5",22,10,,,,,,,
10.07,5,43,,"POINT 10.07,5",20,10,,,,,,,
9.5,5,38,,"POINT 9.5,5",19,10,,,,,,,
8.92,5,33,,"POINT 8.92,5",18,10,,,,,,,
8.35,5,28,,"POINT 8.35,5",17,10,,,,,,,
4,5,1,,"POINT 4,5",8,10,,,,,,,
32,28,200,,"POINT 32,28",64,56,,,,,,,
33.28,28,204,,"POINT 33.28,28",67,56,,,,,,,
33.82,28,205,,"POINT 33.82,28",68,56,,,,,,,
34.51,28,207,,"POINT 34.51,28",69,56,,,,,,,
35.01,28,219,,"POINT 35.01,28",70,56,,,,,,,
35.72,28,223,,"POINT 35.72,28",71,56,,,,,,,
36.26,28,227,,"POINT 36.26,28",73,56,,,,,,,
36.9,28,231,,"POINT 36.9,28",74,56,,,,,,,
37.44,28,235,,"POINT 37.44,28",75,56,,,,,,,
34.5,8,221,,"POINT 34.5,8",69,16,,,,,,,
36.28,8,233,,"POINT 36.28,8",73,16,,,,,,,
36.8,8,237,,"POINT 36.8,8",74,16,,,,,,,
37.46,8,241,,"POINT 37.46,8",75,16,,,,,,,
38.06,8,245,,"POINT 38.06,8",76,16,,,,,,,
40.5,8,269,,"POINT 40.5,8",81,16,,,,,,,
24,23.5,137,,"POINT 24,23.5",48,47,,,,,,,
24,25.5,141,,"POINT 24,25.5",48,51,,,,,,,
29,25.5,184,,"POINT 29,25.5",58,51,,,,,,,
32,24,313,,"POINT 32,24",64,48,,,,,,,
17,5,87,,"POINT 17,5",34,10,,,,,,,
16.5,5,85,,"POINT 16.5,5",33,10,,,,,,,
16,5,83,,"POINT 16,5",32,10,,,,,,,
15.5,5,81,,"POINT 15.5,5",31,10,,,,,,,
15,5,79,,"POINT 15,5",30,10,,,,,,,
14.5,5,77,,"POINT 14.5,5",29,10,,,,,,,
14,5,75,,"POINT 14,5",28,10,,,,,,,
13.5,5,73,,"POINT 13.5,5",27,10,,,,,,,
8,5,23,,"POINT 8,5",16,10,,,,,,,
7.5,5,18,,"POINT 7.5,5",15,10,,,,,,,
7,5,13,,"POINT 7,5",14,10,,,,,,,
6.5,5,7,,"POINT 6.5,5",13,10,,,,,,,
6,5,6,,"POINT 6,5",12,10,,,,,,,
5.5,5,4,,"POINT 5.5,5",11,10,,,,,,,
5,5,3,,"POINT 5,5",10,10,,,,,,,
4.5,5,2,,"POINT 4.5,5",9,10,,,,,,,
17.5,5,89,,"POINT 17.5,5",35,10,,,,,,,
17.5,5.5,90,,"POINT 17.5,5.5",35,11,,,,,,,
17.5,6,91,,"POINT 17.5,6",35,12,,,,,,,
