DEBUG:rospy.topics:tm._add: /wms_pick_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_drop_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_status, std_msgs/Bool, pub
DEBUG:rospy.topics:tm._add: /lifterFeedback, wms_data/Feedback, sub
DEBUG:rospy.topics:tm._add: /wms_pick_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_drop_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_status, std_msgs/Bool, pub
DEBUG:rospy.topics:tm._add: /lifterFeedback, wms_data/Feedback, sub
DEBUG:rospy.topics:tm._add: /wms_pick_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_drop_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_status, std_msgs/Bool, pub
DEBUG:rospy.topics:tm._add: /lifterFeedback, wms_data/Feedback, sub
DEBUG:rospy.topics:tm._add: /wms_pick_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_drop_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_status, std_msgs/Bool, pub
DEBUG:rospy.topics:tm._add: /lifterFeedback, wms_data/Feedback, sub
DEBUG:rospy.topics:tm._add: /wms_pick_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_drop_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_status, std_msgs/Bool, pub
DEBUG:rospy.topics:tm._add: /lifterFeedback, wms_data/Feedback, sub
DEBUG:rospy.topics:tm._add: /wms_pick_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_drop_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_status, std_msgs/Bool, pub
DEBUG:rospy.topics:tm._add: /lifterFeedback, wms_data/Feedback, sub
DEBUG:rospy.topics:tm._add: /wms_pick_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_drop_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_status, std_msgs/Bool, pub
DEBUG:rospy.topics:tm._add: /lifterFeedback, wms_data/Feedback, sub
DEBUG:rospy.topics:tm._add: /wms_pick_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_drop_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_status, std_msgs/Bool, pub
DEBUG:rospy.topics:tm._add: /lifterFeedback, wms_data/Feedback, sub
DEBUG:rospy.topics:tm._add: /wms_pick_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_drop_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_status, std_msgs/Bool, pub
DEBUG:rospy.topics:tm._add: /lifterFeedback, wms_data/Feedback, sub
DEBUG:rospy.topics:tm._add: /wms_pick_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_drop_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_status, std_msgs/Bool, pub
DEBUG:rospy.topics:tm._add: /lifterFeedback, wms_data/Feedback, sub
DEBUG:rospy.topics:tm._add: /wms_pick_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_drop_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_status, std_msgs/Bool, pub
DEBUG:rospy.topics:tm._add: /lifterFeedback, wms_data/Feedback, sub
DEBUG:rospy.topics:tm._add: /wms_pick_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_drop_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_status, std_msgs/Bool, pub
DEBUG:rospy.topics:tm._add: /lifterFeedback, wms_data/Feedback, sub
DEBUG:rospy.topics:tm._add: /wms_pick_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_drop_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_status, std_msgs/Bool, pub
DEBUG:rospy.topics:tm._add: /lifterFeedback, wms_data/Feedback, sub
DEBUG:rospy.topics:tm._add: /wms_pick_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_drop_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_status, std_msgs/Bool, pub
DEBUG:rospy.topics:tm._add: /lifterFeedback, wms_data/Feedback, sub
DEBUG:rospy.topics:tm._add: /wms_pick_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_drop_tasks, wms_data/WMSTasks, pub
DEBUG:rospy.topics:tm._add: /wms_status, std_msgs/Bool, pub
DEBUG:rospy.topics:tm._add: /lifterFeedback, wms_data/Feedback, sub
