_X,_Y,ID,Coordinates
0,3.285125,1,
3.9E-05,3.025125,2,
2.4E-05,2.765125,3,
3.9E-05,2.425125,4,
5.4E-05,2.085125,5,
7.8E-05,1.565125,6,
0.000105,0.965162,7,
0.000132,0.365162,8,
0.000149,0.002758,9,
0.362097,0.002619,10,
0.687156,0.002495,11,
1.287156,0.002266,12,
1.887156,0.002037,13,
2.487156,0.001807,14,
3.087156,0.001578,15,
2.487142,0.601807,16,
2.487142,1.201794,17,
2.487116,1.801807,18,
2.487116,2.401807,19,
3.487103,0.001425,20,
3.887103,0.001272,21,
4.487103,0.001043,22,
5.087103,0.000814,23,
5.496873,0.000657,24,
6.016872,0.000459,25,
6.356872,0.000329,26,
6.696872,0.000199,27,
7.216872,0,28,
3.487103,0.601837,29,
3.487103,1.198837,30,
3.487103,1.598837,31,
3.487103,1.998837,32,
3.487103,2.402837,33,
2.987,2.402873,44,
3.892103,2.402837,34,
4.297103,2.402837,35,
4.897103,2.402837,36,
5.497103,2.402837,37,
6.017103,2.402837,38,
6.357103,2.402837,39,
6.697103,2.402837,40,
7.217103,2.402837,41,
