_X,_Y,ID,,Cordinates
11.5,15,1,,"POINT 11.5,15"
10.04,15,2,,"POINT 10.04,15"
9.5,15,3,,"POINT 9.5,15"
8.8,15,4,,"POINT 8.8,15"
8.28,15,5,,"POINT 8.28,15"
7.92,15,6,,"POINT 7.92,15"
11.5,18.5,7,,"POINT 11.5,18.5"
10.03,18.5,8,,"POINT 10.03,18.5"
9.48,18.5,9,,"POINT 9.48,18.5"
8.78,18.5,10,,"POINT 8.78,18.5"
8.28,18.5,11,,"POINT 8.28,18.5"
7.94,18.5,12,,"POINT 7.94,18.5"
11.5,21,13,,"POINT 11.5,21"
10.05,21,14,,"POINT 10.05,21"
9.52,21,15,,"POINT 9.52,21"
8.82,21,16,,"POINT 8.82,21"
8.31,21,17,,"POINT 8.31,21"
7.92,21,18,,"POINT 7.92,21"
11.5,23.5,19,,"POINT 11.5,23.5"
10.03,23.5,20,,"POINT 10.03,23.5"
9.5,23.5,21,,"POINT 9.5,23.5"
8.8,23.5,22,,"POINT 8.8,23.5"
8.29,23.5,23,,"POINT 8.29,23.5"
7.92,23.5,24,,"POINT 7.92,23.5"
12.69,5,25,,"POINT 12.69,5"
12.12,5,26,,"POINT 12.12,5"
11.55,5,27,,"POINT 11.55,5"
10.97,5,28,,"POINT 10.97,5"
10.07,5,29,,"POINT 10.07,5"
9.5,5,30,,"POINT 9.5,5"
8.92,5,31,,"POINT 8.92,5"
8.35,5,32,,"POINT 8.35,5"
4,5,33,,"POINT 4,5"
32,28,34,,"POINT 32,28"
33.28,28,35,,"POINT 33.28,28"
33.82,28,36,,"POINT 33.82,28"
34.51,28,37,,"POINT 34.51,28"
35.01,28,38,,"POINT 35.01,28"
35.72,28,39,,"POINT 35.72,28"
36.26,28,40,,"POINT 36.26,28"
36.9,28,41,,"POINT 36.9,28"
37.44,28,42,,"POINT 37.44,28"
34.5,8,43,,"POINT 34.5,8"
36.28,8,44,,"POINT 36.28,8"
36.8,8,45,,"POINT 36.8,8"
37.46,8,46,,"POINT 37.46,8"
38.06,8,47,,"POINT 38.06,8"
40.5,8,48,,"POINT 40.5,8"
17.5,21,49,,"POINT 17.5,21"
17.5,23.5,50,,"POINT 17.5,23.5"
24,23.5,51,,"POINT 24,23.5"
24,25.5,52,,"POINT 24,25.5"
29,25.5,53,,"POINT 29,25.5"
32,24,54,,"POINT 32,24"
17,5,55,,"POINT 17,5"
16.5,5,56,,"POINT 16.5,5"
16,5,57,,"POINT 16,5"
15.5,5,58,,"POINT 15.5,5"
15,5,59,,"POINT 15,5"
14.5,5,60,,"POINT 14.5,5"
14,5,61,,"POINT 14,5"
13.5,5,62,,"POINT 13.5,5"
10.5,5,63,,"POINT 10.5,5"
8,5,64,,"POINT 8,5"
7.5,5,65,,"POINT 7.5,5"
7,5,66,,"POINT 7,5"
6.5,5,67,,"POINT 6.5,5"
6,5,68,,"POINT 6,5"
5.5,5,69,,"POINT 5.5,5"
5,5,70,,"POINT 5,5"
4.5,5,71,,"POINT 4.5,5"
17.5,5,72,,"POINT 17.5,5"
17.5,5.5,73,,"POINT 17.5,5.5"
17.5,6,74,,"POINT 17.5,6"
17.5,6.5,75,,"POINT 17.5,6.5"
17.5,7,76,,"POINT 17.5,7"
17.5,7.5,77,,"POINT 17.5,7.5"
17.5,8,78,,"POINT 17.5,8"
17.5,8.5,79,,"POINT 17.5,8.5"
17.5,9,80,,"POINT 17.5,9"
17.5,9.5,81,,"POINT 17.5,9.5"
17.5,10,82,,"POINT 17.5,10"
17.5,10.5,83,,"POINT 17.5,10.5"
17.5,11,84,,"POINT 17.5,11"
17.5,11.5,85,,"POINT 17.5,11.5"
17.5,12,86,,"POINT 17.5,12"
17.5,12.5,87,,"POINT 17.5,12.5"
17.5,13,88,,"POINT 17.5,13"
17.5,13.5,89,,"POINT 17.5,13.5"
17.5,14,90,,"POINT 17.5,14"
17.5,14.5,91,,"POINT 17.5,14.5"
17.5,15,92,,"POINT 17.5,15"
17.5,15.5,93,,"POINT 17.5,15.5"
17.5,16,94,,"POINT 17.5,16"
17.5,16.5,95,,"POINT 17.5,16.5"
17.5,17,96,,"POINT 17.5,17"
17.5,17.5,97,,"POINT 17.5,17.5"
17.5,18,98,,"POINT 17.5,18"
17.5,18.5,99,,"POINT 17.5,18.5"
17.5,19,100,,"POINT 17.5,19"
17.5,19.5,101,,"POINT 17.5,19.5"
17.5,20,102,,"POINT 17.5,20"
17.5,20.5,103,,"POINT 17.5,20.5"
17.5,21,104,,"POINT 17.5,21"
17.5,21.5,105,,"POINT 17.5,21.5"
17.5,22,106,,"POINT 17.5,22"
17.5,22.5,107,,"POINT 17.5,22.5"
