_X,_Y,ID,Row,Column,,
5137.89,3963.4,1,10,8,,"POINT 10,8"
5637.89,3963.4,2,11,8,,"POINT 11,8"
6137.89,3963.4,3,12,8,,"POINT 12,8"
6637.89,3963.4,4,13,8,,"POINT 13,8"
7137.89,3963.4,5,14,8,,"POINT 14,8"
7637.89,3963.4,6,15,8,,"POINT 15,8"
8137.89,3963.4,7,16,8,,"POINT 16,8"
8637.89,3963.4,8,17,8,,"POINT 17,8"
9137.89,3963.4,9,18,8,,"POINT 18,8"
9637.89,3963.4,10,19,8,,"POINT 19,8"
10137.89,3963.4,11,20,8,,"POINT 20,8"
10637.89,3963.4,12,21,8,,"POINT 21,8"
11137.89,3963.4,13,22,8,,"POINT 22,8"
11637.89,3963.4,14,23,8,,"POINT 23,8"
12137.89,3963.4,15,24,8,,"POINT 24,8"
12637.89,3963.4,16,25,8,,"POINT 25,8"
13137.89,3963.4,17,26,8,,"POINT 26,8"
13637.89,3963.4,18,27,8,,"POINT 27,8"
14137.89,3963.4,19,28,8,,"POINT 28,8"
14637.89,3963.4,20,29,8,,"POINT 29,8"
15137.89,3963.4,21,30,8,,"POINT 30,8"
15637.89,3963.4,22,31,8,,"POINT 31,8"
16137.89,3963.4,23,32,8,,"POINT 32,8"
16637.89,3963.4,24,33,8,,"POINT 33,8"
17137.89,3963.4,25,34,8,,"POINT 34,8"
17637.89,3963.4,26,35,8,,"POINT 35,8"
18137.89,3963.4,27,36,8,,"POINT 36,8"
18637.89,3963.4,28,37,8,,"POINT 37,8"
18637.89,4463.4,29,37,9,,"POINT 37,9"
18637.89,4963.4,30,37,10,,"POINT 37,10"
18637.89,5463.4,31,37,11,,"POINT 37,11"
18637.89,5963.4,32,37,12,,"POINT 37,12"
18637.89,6463.4,33,37,13,,"POINT 37,13"
18637.89,6963.4,34,37,14,,"POINT 37,14"
18637.89,7463.4,35,37,15,,"POINT 37,15"
18637.89,7963.4,36,37,16,,"POINT 37,16"
18637.89,8463.4,37,37,17,,"POINT 37,17"
18637.89,8963.4,38,37,18,,"POINT 37,18"
18637.89,9463.4,39,37,19,,"POINT 37,19"
18637.89,9963.4,40,37,20,,"POINT 37,20"
18637.89,10463.4,41,37,21,,"POINT 37,21"
18637.89,10963.4,42,37,22,,"POINT 37,22"
18637.89,11463.4,43,37,23,,"POINT 37,23"
18637.89,11963.4,44,37,24,,"POINT 37,24"
18637.89,12463.4,45,37,25,,"POINT 37,25"
18637.89,12963.4,46,37,26,,"POINT 37,26"
18637.89,13463.4,47,37,27,,"POINT 37,27"
18637.89,13963.4,48,37,28,,"POINT 37,28"
18637.89,14463.4,49,37,29,,"POINT 37,29"
18637.89,14963.4,50,37,30,,"POINT 37,30"
18637.89,15463.4,51,37,31,,"POINT 37,31"
18637.89,15963.4,52,37,32,,"POINT 37,32"
18637.89,16463.4,53,37,33,,"POINT 37,33"
18637.89,16963.4,54,37,34,,"POINT 37,34"
18637.89,17463.4,55,37,35,,"POINT 37,35"
18637.89,17963.4,56,37,36,,"POINT 37,36"
18637.89,18463.4,57,37,37,,"POINT 37,37"
18637.89,19293.01,58,37,39,,"POINT 37,39"
18637.89,19793.01,59,37,40,,"POINT 37,40"
18137.89,19793.01,60,36,40,,"POINT 36,40"
17745.64,19793.01,61,35,40,,"POINT 35,40"
17245.64,19793.01,62,34,40,,"POINT 34,40"
16745.64,19793.01,63,33,40,,"POINT 33,40"
16245.64,19793.01,64,32,40,,"POINT 32,40"
15745.64,19793.01,65,31,40,,"POINT 31,40"
15245.64,19793.01,66,30,40,,"POINT 30,40"
14745.64,19793.01,67,29,40,,"POINT 29,40"
14245.64,19793.01,68,28,40,,"POINT 28,40"
13745.64,19793.01,69,27,40,,"POINT 27,40"
13245.64,19793.01,70,26,40,,"POINT 26,40"
12745.64,19793.01,71,25,40,,"POINT 25,40"
12245.64,19793.01,72,24,40,,"POINT 24,40"
12745.64,20293.01,73,25,41,,"POINT 25,41"
12745.64,19293.01,74,25,39,,"POINT 25,39"
12745.64,20793.01,75,25,42,,"POINT 25,42"
12745.64,21293.01,76,25,43,,"POINT 25,43"
12745.64,21699.01,77,25,43,,"POINT 25,43"
12745.64,22199.01,78,25,44,,"POINT 25,44"
12245.64,22199.01,79,24,44,,"POINT 24,44"
11745.64,22199.01,80,23,44,,"POINT 23,44"
11245.64,22199.01,81,22,44,,"POINT 22,44"
10745.64,22199.01,82,21,44,,"POINT 21,44"
10245.64,22199.01,83,20,44,,"POINT 20,44"
9745.64,22199.01,84,19,44,,"POINT 19,44"
9245.64,22199.01,85,18,44,,"POINT 18,44"
8745.64,22199.01,86,17,44,,"POINT 17,44"
12245.64,19793.01,87,24,40,,"POINT 24,40"
11745.64,19793.01,88,23,40,,"POINT 23,40"
11245.64,19793.01,89,22,40,,"POINT 22,40"
10745.64,19793.01,90,21,40,,"POINT 21,40"
10245.64,19793.01,91,20,40,,"POINT 20,40"
9745.64,19793.01,92,19,40,,"POINT 19,40"
9245.64,19793.01,93,18,40,,"POINT 18,40"
8745.64,19793.01,94,17,40,,"POINT 17,40"
12245.64,17387.35,95,24,35,,"POINT 24,35"
11745.64,17387.35,96,23,35,,"POINT 23,35"
11245.64,17387.35,97,22,35,,"POINT 22,35"
10745.64,17387.35,98,21,35,,"POINT 21,35"
10245.64,17387.35,99,20,35,,"POINT 20,35"
9745.64,17387.35,100,19,35,,"POINT 19,35"
9245.64,17387.35,101,18,35,,"POINT 18,35"
8745.64,17387.35,102,17,35,,"POINT 17,35"
12245.64,13917.38,103,24,28,,"POINT 24,28"
11745.64,13917.38,104,23,28,,"POINT 23,28"
11245.64,13917.38,105,22,28,,"POINT 22,28"
10745.64,13917.38,106,21,28,,"POINT 21,28"
10245.64,13917.38,107,20,28,,"POINT 20,28"
9745.64,13917.38,108,19,28,,"POINT 19,28"
9245.64,13917.38,109,18,28,,"POINT 18,28"
8745.64,13917.38,110,17,28,,"POINT 17,28"
12745.64,13917.38,111,25,28,,"POINT 25,28"
12745.64,14417.38,112,25,29,,"POINT 25,29"
12745.64,14917.38,113,25,30,,"POINT 25,30"
12745.64,15417.38,114,25,31,,"POINT 25,31"
12745.64,15917.38,115,25,32,,"POINT 25,32"
12745.64,16417.38,116,25,33,,"POINT 25,33"
12745.64,16887.35,117,25,34,,"POINT 25,34"
12745.64,17387.35,118,25,35,,"POINT 25,35"
12745.64,17887.35,119,25,36,,"POINT 25,36"
12745.64,18293.01,120,25,37,,"POINT 25,37"
12745.64,18793.01,121,25,38,,"POINT 25,38"
12745.64,19293.01,122,25,39,,"POINT 25,39"
18637.89,20293.01,123,37,41,,"POINT 37,41"
18637.89,20786.03,124,37,42,,"POINT 37,42"
18637.89,21286.03,125,37,43,,"POINT 37,43"
18637.89,21608.92,126,37,43,,"POINT 37,43"
18637.89,22108.92,127,37,44,,"POINT 37,44"
19137.89,22108.92,128,38,44,,"POINT 38,44"
19637.89,22108.92,129,39,44,,"POINT 39,44"
20137.89,22108.92,130,40,44,,"POINT 40,44"
20637.89,22108.92,131,41,44,,"POINT 41,44"
21137.89,22108.92,132,42,44,,"POINT 42,44"
21637.89,22108.92,133,43,44,,"POINT 43,44"
22137.89,22108.92,134,44,44,,"POINT 44,44"
22637.89,22108.92,135,45,44,,"POINT 45,44"
23075.5,22108.92,136,46,44,,"POINT 46,44"
23575.5,22108.92,137,47,44,,"POINT 47,44"
24075.5,22108.92,138,48,44,,"POINT 48,44"
24849.02,22108.92,139,50,44,,"POINT 50,44"
25349.02,22108.92,140,51,44,,"POINT 51,44"
25349.02,22608.92,141,51,45,,"POINT 51,45"
25349.02,23108.92,142,51,46,,"POINT 51,46"
25349.02,23656.22,143,51,47,,"POINT 51,47"
25349.02,24156.22,144,51,48,,"POINT 51,48"
25849.02,24156.22,145,52,48,,"POINT 52,48"
26349.02,24156.22,146,53,48,,"POINT 53,48"
26849.02,24156.22,147,54,48,,"POINT 54,48"
27349.02,24156.22,148,55,48,,"POINT 55,48"
27849.02,24156.22,149,56,48,,"POINT 56,48"
28349.02,24156.22,150,57,48,,"POINT 57,48"
28849.02,24156.22,151,58,48,,"POINT 58,48"
29349.02,24156.22,152,59,48,,"POINT 59,48"
29908.14,24156.22,153,60,48,,"POINT 60,48"
30408.14,24156.22,154,61,48,,"POINT 61,48"
