_X,_Y,ID,Coordinates,,,,,,,,,,
4,5,1,"POINT 4,5",,,,,,,,,,
4.5,5,2,"POINT 4.5,5",,,,,,,,,,
5,5,3,"POINT 5,5",,,,,,,,,,
5.5,5,4,"POINT 5.5,5",,,,,,,,,,
8.28,14.87,5,"POINT 8.28,14.87",,,,,,,,,,
6,5,6,"POINT 6,5",,,,,,,,,,
6.5,5,7,"POINT 6.5,5",,,,,,,,,,
7,5,13,"POINT 7,5",,,,,,,,,,
7.92,14.87,14,"POINT 7.92,14.87",,,,,,,,,,
7.94,18.37,15,"POINT 7.94,18.37",,,,,,,,,,
7.92,20.87,16,"POINT 7.92,20.87",,,,,,,,,,
7.92,23.37,17,"POINT 7.92,23.37",,,,,,,,,,
7.5,5,18,"POINT 7.5,5",,,,,,,,,,
8.28,18.37,20,"POINT 8.28,18.37",,,,,,,,,,
8.31,20.87,21,"POINT 8.31,20.87",,,,,,,,,,
8.29,23.37,22,"POINT 8.29,23.37",,,,,,,,,,
8,5,23,"POINT 8,5",,,,,,,,,,
8.8,14.87,24,"POINT 8.8,14.87",,,,,,,,,,
8.78,18.37,25,"POINT 8.78,18.37",,,,,,,,,,
8.82,20.87,26,"POINT 8.82,20.87",,,,,,,,,,
8.8,23.37,27,"POINT 8.8,23.37",,,,,,,,,,
8.35,5,28,"POINT 8.35,5",,,,,,,,,,
9.5,14.87,29,"POINT 9.5,14.87",,,,,,,,,,
9.48,18.37,30,"POINT 9.48,18.37",,,,,,,,,,
9.52,20.87,31,"POINT 9.52,20.87",,,,,,,,,,
9.5,23.37,32,"POINT 9.5,23.37",,,,,,,,,,
8.92,5,33,"POINT 8.92,5",,,,,,,,,,
10.04,14.87,34,"POINT 10.04,14.87",,,,,,,,,,
10.03,18.37,35,"POINT 10.03,18.37",,,,,,,,,,
10.05,20.87,36,"POINT 10.05,20.87",,,,,,,,,,
10.03,23.37,37,"POINT 10.03,23.37",,,,,,,,,,
9.5,5,38,"POINT 9.5,5",,,,,,,,,,
10.5,14.87,39,"POINT 10.5,14.87",,,,,,,,,,
10.5,18.37,40,"POINT 10.5,18.37",,,,,,,,,,
17.5,22,41,"POINT 17.5,22",,,,,,,,,,
10.5,23.37,42,"POINT 10.5,23.37",,,,,,,,,,
10.07,5,43,"POINT 10.07,5",,,,,,,,,,
11,14.87,44,"POINT 11,14.87",,,,,,,,,,
11,18.37,45,"POINT 11,18.37",,,,,,,,,,
17.5,21.5,46,"POINT 17.5,21.5",,,,,,,,,,
11,23.37,47,"POINT 11,23.37",,,,,,,,,,
10.97,5,48,"POINT 10.97,5",,,,,,,,,,
11.5,14.87,49,"POINT 11.5,14.87",,,,,,,,,,
11.5,15.37,50,"POINT 11.5,15.37",,,,,,,,,,
11.5,15.87,51,"POINT 11.5,15.87",,,,,,,,,,
11.5,16.37,52,"POINT 11.5,16.37",,,,,,,,,,
11.5,16.87,53,"POINT 11.5,16.87",,,,,,,,,,
11.5,17.37,54,"POINT 11.5,17.37",,,,,,,,,,
11.5,17.87,55,"POINT 11.5,17.87",,,,,,,,,,
11.5,18.37,56,"POINT 11.5,18.37",,,,,,,,,,
11.5,18.87,57,"POINT 11.5,18.87",,,,,,,,,,
11.5,19.37,58,"POINT 11.5,19.37",,,,,,,,,,
11.5,19.87,59,"POINT 11.5,19.87",,,,,,,,,,
11.5,20.37,60,"POINT 11.5,20.37",,,,,,,,,,
11.5,20.87,61,"POINT 11.5,20.87",,,,,,,,,,
11.5,21.37,62,"POINT 11.5,21.37",,,,,,,,,,
11.5,21.87,63,"POINT 11.5,21.87",,,,,,,,,,
11.5,22.37,64,"POINT 11.5,22.37",,,,,,,,,,
11.5,22.87,65,"POINT 11.5,22.87",,,,,,,,,,
11.5,23.37,66,"POINT 11.5,23.37",,,,,,,,,,
11.55,5,67,"POINT 11.55,5",,,,,,,,,,
12,20.87,68,"POINT 12,20.87",,,,,,,,,,
12.12,5,69,"POINT 12.12,5",,,,,,,,,,
12.5,20.87,70,"POINT 12.5,20.87",,,,,,,,,,
12.69,5,71,"POINT 12.69,5",,,,,,,,,,
13,20.87,72,"POINT 13,20.87",,,,,,,,,,
13.5,5,73,"POINT 13.5,5",,,,,,,,,,
13.5,20.87,74,"POINT 13.5,20.87",,,,,,,,,,
14,5,75,"POINT 14,5",,,,,,,,,,
