_X,_Y,ID,Coordinates
3390.26657,34800.25256,1,"POINT 3390.26657,34800.25256"
3390.26657,34120.25252,2,"POINT 3390.26657,34120.25252"
3390.26657,33600.25256,3,"POINT 3390.26657,33600.25256"
3390.26657,33237.25254,4,"POINT 3390.26657,33237.25254"
3390.26657,32737.25254,5,"POINT 3390.26657,32737.25254"
3390.26657,32237.25254,6,"POINT 3390.26657,32237.25254"
3390.26657,31737.25254,7,"POINT 3390.26657,31737.25254"
3890.26657,31737.25254,8,"POINT 3890.26657,31737.25254"
4390.26657,31737.25254,9,"POINT 4390.26657,31737.25254"
4890.26657,31737.25254,10,"POINT 4890.26657,31737.25254"
5390.26657,31737.25254,11,"POINT 5390.26657,31737.25254"
5796.26657,31737.25254,12,"POINT 5796.26657,31737.25254"
6296.26657,31737.25254,13,"POINT 6296.26657,31737.25254"
6296.26657,32237.25254,14,"POINT 6296.26657,32237.25254"
6296.26657,32737.25254,15,"POINT 6296.26657,32737.25254"
6296.26657,33237.25254,16,"POINT 6296.26657,33237.25254"
6296.26657,33600.25256,17,"POINT 6296.26657,33600.25256"
6296.26657,34120.25252,18,"POINT 6296.26657,34120.25252"
6296.26657,34800.25256,19,"POINT 6296.26657,34800.25256"
6296.26657,35320.25252,20,"POINT 6296.26657,35320.25252"
3890.26657,31237.25254,21,"POINT 3890.26657,31237.25254"
3890.26657,30737.25254,22,"POINT 3890.26657,30737.25254"
3890.26657,30237.25254,23,"POINT 3890.26657,30237.25254"
3890.26657,29737.25254,24,"POINT 3890.26657,29737.25254"
3890.26657,29237.25254,25,"POINT 3890.26657,29237.25254"
3890.26657,28737.25254,26,"POINT 3890.26657,28737.25254"
3890.26657,28237.25254,27,"POINT 3890.26657,28237.25254"
3890.26657,27737.25254,28,"POINT 3890.26657,27737.25254"
3890.26657,27237.25254,29,"POINT 3890.26657,27237.25254"
3890.26657,26737.25254,30,"POINT 3890.26657,26737.25254"
3890.26657,26345.00467,31,"POINT 3890.26657,26345.00467"
3890.26657,25845.00467,32,"POINT 3890.26657,25845.00467"
4390.26657,25845.00467,33,"POINT 4390.26657,25845.00467"
4883.28191,25845.00467,34,"POINT 4883.28191,25845.00467"
5383.28191,25845.00467,35,"POINT 5383.28191,25845.00467"
5706.17285,25845.00467,36,"POINT 5706.17285,25845.00467"
6206.17285,25845.00467,37,"POINT 6206.17285,25845.00467"
6206.17285,25345.00467,38,"POINT 6206.17285,25345.00467"
6206.17285,24845.00467,39,"POINT 6206.17285,24845.00467"
6206.17285,24345.00467,40,"POINT 6206.17285,24345.00467"
6206.17285,23845.00467,41,"POINT 6206.17285,23845.00467"
6206.17285,23345.00467,42,"POINT 6206.17285,23345.00467"
6206.17285,22845.00467,43,"POINT 6206.17285,22845.00467"
6206.17285,22345.00467,44,"POINT 6206.17285,22345.00467"
6206.17285,21845.00467,45,"POINT 6206.17285,21845.00467"
6206.17285,21345.00467,46,"POINT 6206.17285,21345.00467"
6206.17285,20845.00467,47,"POINT 6206.17285,20845.00467"
6206.17285,20345.00467,48,"POINT 6206.17285,20345.00467"
6206.17285,19845.00467,49,"POINT 6206.17285,19845.00467"
6206.17285,19345.00467,50,"POINT 6206.17285,19345.00467"
6206.17285,18845.00467,51,"POINT 6206.17285,18845.00467"
6206.17285,18345.00467,52,"POINT 6206.17285,18345.00467"
6206.17285,17845.00467,53,"POINT 6206.17285,17845.00467"
6206.17285,17345.00467,54,"POINT 6206.17285,17345.00467"
6206.17285,16845.00467,55,"POINT 6206.17285,16845.00467"
6206.17285,16345.00467,56,"POINT 6206.17285,16345.00467"
6206.17285,15845.00467,57,"POINT 6206.17285,15845.00467"
6206.17285,15345.00467,58,"POINT 6206.17285,15345.00467"
6206.17285,14845.00467,59,"POINT 6206.17285,14845.00467"
6206.17285,14345.00467,60,"POINT 6206.17285,14345.00467"
6206.17285,13845.00467,61,"POINT 6206.17285,13845.00467"
6206.17285,13345.00467,62,"POINT 6206.17285,13345.00467"
6206.17285,12845.00467,63,"POINT 6206.17285,12845.00467"
6206.17285,12345.00467,64,"POINT 6206.17285,12345.00467"
6206.17285,11840.99491,65,"POINT 6206.17285,11840.99491"
6206.17285,11340.99491,66,"POINT 6206.17285,11340.99491"
6206.17285,10840.99491,67,"POINT 6206.17285,10840.99491"
6206.17285,10527.99998,68,"POINT 6206.17285,10527.99998"
6206.17285,10027.99998,69,"POINT 6206.17285,10027.99998"
6206.17285,9527.99998,70,"POINT 6206.17285,9527.99998"
6206.17285,9008.00002,71,"POINT 6206.17285,9008.00002"
6206.17285,8327.99998,72,"POINT 6206.17285,8327.99998"
6206.17285,7808.00002,73,"POINT 6206.17285,7808.00002"
6206.17285,7092.99998,74,"POINT 6206.17285,7092.99998"
6206.17285,6573.00002,75,"POINT 6206.17285,6573.00002"
6206.17285,5892.99998,76,"POINT 6206.17285,5892.99998"
6206.17285,5373.00002,77,"POINT 6206.17285,5373.00002"
6706.17285,11340.99491,78,"POINT 6706.17285,11340.99491"
7206.17285,11340.99491,79,"POINT 7206.17285,11340.99491"
7706.17285,11340.99491,80,"POINT 7706.17285,11340.99491"
8206.17285,11340.99491,81,"POINT 8206.17285,11340.99491"
8706.17285,11340.99491,82,"POINT 8706.17285,11340.99491"
9206.17285,11340.99491,83,"POINT 9206.17285,11340.99491"
9706.17285,11340.99491,84,"POINT 9706.17285,11340.99491"
10242.15194,11341,85,"POINT 10242.15194,11341"
10742.15194,11341,86,"POINT 10742.15194,11341"
10742.15194,10840.99491,87,"POINT 10742.15194,10840.99491"
10742.15194,10527.99998,88,"POINT 10742.15194,10527.99998"
10742.15194,10027.99998,89,"POINT 10742.15194,10027.99998"
10742.15194,9527.99998,90,"POINT 10742.15194,9527.99998"
10742.15194,9008.00002,91,"POINT 10742.15194,9008.00002"
10742.15194,8327.99998,92,"POINT 10742.15194,8327.99998"
10742.15194,7808.00002,93,"POINT 10742.15194,7808.00002"
10742.15194,7092.99998,94,"POINT 10742.15194,7092.99998"
10742.15194,6573.00002,95,"POINT 10742.15194,6573.00002"
10742.15194,5892.99998,96,"POINT 10742.15194,5892.99998"
10742.15194,5373.00002,97,"POINT 10742.15194,5373.00002"
3390.26657,35320.25252,98,"POINT 3390.26657,35320.25252"
